STATE,OCC_TITLE,A_MEDIAN,YEAR,CPI,A_MEDIAN_ADJ
Connecticut,clinical counseling and school psychologists,75950.0,2012,109.2,68962.59999999999
Connecticut,psychologists all other,84620.0,2012,109.2,76834.95999999999
Connecticut,urban and regional planners,74540.0,2012,109.2,67682.31999999999
Connecticut,social scientists and related workers all other,77220.0,2012,109.2,70115.76
Connecticut,biological technicians,47320.0,2012,109.2,42966.56
Connecticut,chemical technicians,44570.0,2012,109.2,40469.56
Connecticut,nuclear technicians,69810.0,2012,109.2,63387.48
Connecticut,social science research assistants,50160.0,2012,109.2,45545.28
Connecticut,environmental science and protection technicians including health,43820.0,2012,109.2,39788.56
Connecticut,forensic science technicians,68140.0,2012,109.2,61871.12
Connecticut,forest and conservation technicians,52780.0,2012,109.2,47924.24
Connecticut,life physical and social science technicians all other,56240.0,2012,109.2,51065.92
Connecticut,community and social service occupations,47300.0,2012,109.2,42948.4
Connecticut,substance abuse and behavioral disorder counselors,45310.0,2012,109.2,41141.48
Connecticut,educational guidance school and vocational counselors,56510.0,2012,109.2,51311.08
Connecticut,marriage and family therapists,55780.0,2012,109.2,50648.24
Connecticut,mental health counselors,37180.0,2012,109.2,33759.44
Connecticut,rehabilitation counselors,34440.0,2012,109.2,31271.52
Connecticut,counselors all other,31410.0,2012,109.2,28520.28
Connecticut,child family and school social workers,64060.0,2012,109.2,58166.48
Connecticut,healthcare social workers,58800.0,2012,109.2,53390.4
Connecticut,mental health and substance abuse social workers,54100.0,2012,109.2,49122.8
Connecticut,social workers all other,42730.0,2012,109.2,38798.84
Connecticut,health educators,48010.0,2012,109.2,43593.08
Connecticut,probation officers and correctional treatment specialists,73440.0,2012,109.2,66683.52
Connecticut,social and human service assistants,35720.0,2012,109.2,32433.76
Connecticut,community health workers,37190.0,2012,109.2,33768.52
Connecticut,community and social service specialists all other,42300.0,2012,109.2,38408.4
Connecticut,clergy,53650.0,2012,109.2,48714.2
Connecticut,directors religious activities and education,42540.0,2012,109.2,38626.32
Connecticut,religious workers all other,42660.0,2012,109.2,38735.28
Connecticut,legal occupations,85720.0,2012,109.2,77833.76
Connecticut,lawyers,121480.0,2012,109.2,110303.84
Connecticut,judicial law clerks,73330.0,2012,109.2,66583.64
Connecticut,administrative law judges adjudicators and hearing officers,81120.0,2012,109.2,73656.95999999999
Connecticut,arbitrators mediators and conciliators,78740.0,2012,109.2,71495.92
Connecticut,judges magistrate judges and magistrates,160810.0,2012,109.2,146015.47999999998
Connecticut,paralegals and legal assistants,50250.0,2012,109.2,45627.0
Connecticut,court reporters,52320.0,2012,109.2,47506.56
Connecticut,title examiners abstractors and searchers,58730.0,2012,109.2,53326.84
Connecticut,legal support workers all other,54730.0,2012,109.2,49694.84
Connecticut,education training and library occupations,53210.0,2012,109.2,48314.68
Connecticut,business teachers postsecondary,91530.0,2012,109.2,83109.23999999999
Connecticut,computer science teachers postsecondary,81790.0,2012,109.2,74265.31999999999
Connecticut,mathematical science teachers postsecondary,67000.0,2012,109.2,60836.0
Connecticut,engineering teachers postsecondary,80590.0,2012,109.2,73175.72
Connecticut,biological science teachers postsecondary,76650.0,2012,109.2,69598.2
Connecticut,atmospheric earth marine and space sciences teachers postsecondary,71540.0,2012,109.2,64958.32
Connecticut,chemistry teachers postsecondary,70230.0,2012,109.2,63768.84
Connecticut,environmental science teachers postsecondary,76910.0,2012,109.2,69834.28
Connecticut,physics teachers postsecondary,71190.0,2012,109.2,64640.52
Connecticut,anthropology and archeology teachers postsecondary,70110.0,2012,109.2,63659.88
