STATE,OCC_TITLE,A_MEDIAN,YEAR,CPI,A_MEDIAN_ADJ
Connecticut,helpers--roofers,32840.0,2015,108.7,29982.92
Connecticut,helpers construction trades all other,29090.0,2015,108.7,26559.17
Connecticut,construction and building inspectors,71720.0,2015,108.7,65480.36
Connecticut,elevator installers and repairers,98010.0,2015,108.7,89483.13
Connecticut,fence erectors,39660.0,2015,108.7,36209.58
Connecticut,hazardous materials removal workers,41810.0,2015,108.7,38172.53
Connecticut,highway maintenance workers,52270.0,2015,108.7,47722.51
Connecticut,septic tank servicers and sewer pipe cleaners,36620.0,2015,108.7,33434.06
Connecticut,construction and related workers all other,40960.0,2015,108.7,37396.48
Connecticut,earth drillers except oil and gas,40580.0,2015,108.7,37049.54
Connecticut,installation maintenance and repair occupations,48060.0,2015,108.7,43878.78
Connecticut,first-line supervisors of mechanics installers and repairers,68870.0,2015,108.7,62878.31
Connecticut,computer automated teller and office machine repairers,43770.0,2015,108.7,39962.01
Connecticut,radio cellular and tower equipment installers and repairers,47940.0,2015,108.7,43769.22
Connecticut,telecommunications equipment installers and repairers except line installers,57950.0,2015,108.7,52908.35
Connecticut,avionics technicians,56330.0,2015,108.7,51429.29
Connecticut,electric motor power tool and related repairers,55040.0,2015,108.7,50251.52
Connecticut,electrical and electronics installers and repairers transportation equipment,58290.0,2015,108.7,53218.77
Connecticut,electrical and electronics repairers commercial and industrial equipment,65720.0,2015,108.7,60002.36
Connecticut,electrical and electronics repairers powerhouse substation and relay,84330.0,2015,108.7,76993.29
Connecticut,electronic equipment installers and repairers motor vehicles,30330.0,2015,108.7,27691.29
Connecticut,electronic home entertainment equipment installers and repairers,44130.0,2015,108.7,40290.69
Connecticut,security and fire alarm systems installers,54570.0,2015,108.7,49822.41
Connecticut,aircraft mechanics and service technicians,62510.0,2015,108.7,57071.63
Connecticut,automotive body and related repairers,43630.0,2015,108.7,39834.19
Connecticut,automotive glass installers and repairers,37960.0,2015,108.7,34657.48
Connecticut,automotive service technicians and mechanics,41770.0,2015,108.7,38136.01
Connecticut,bus and truck mechanics and diesel engine specialists,52750.0,2015,108.7,48160.75
Connecticut,farm equipment mechanics and service technicians,39590.0,2015,108.7,36145.67
Connecticut,mobile heavy equipment mechanics except engines,55980.0,2015,108.7,51109.74
Connecticut,motorboat mechanics and service technicians,49460.0,2015,108.7,45156.98
Connecticut,motorcycle mechanics,36370.0,2015,108.7,33205.81
Connecticut,outdoor power equipment and other small engine mechanics,44460.0,2015,108.7,40591.98
Connecticut,bicycle repairers,25890.0,2015,108.7,23637.57
Connecticut,recreational vehicle service technicians,36370.0,2015,108.7,33205.81
Connecticut,tire repairers and changers,23690.0,2015,108.7,21628.97
Connecticut,mechanical door repairers,43290.0,2015,108.7,39523.77
Connecticut,control and valve installers and repairers except mechanical door,69450.0,2015,108.7,63407.85
