STATE,OCC_TITLE,A_MEDIAN,YEAR,CPI,A_MEDIAN_ADJ
Connecticut,kindergarten teachers except special education,69580.0,2013,108.5,63665.7
Connecticut,elementary school teachers except special education,69650.0,2013,108.5,63729.75
Connecticut,middle school teachers except special and career/technical education,71070.0,2013,108.5,65029.05
Connecticut,career/technical education teachers middle school,74300.0,2013,108.5,67984.5
Connecticut,secondary school teachers except special and career/technical education,69770.0,2013,108.5,63839.55
Connecticut,career/technical education teachers secondary school,74720.0,2013,108.5,68368.8
Connecticut,special education teachers preschool,63130.0,2013,108.5,57763.95
Connecticut,special education teachers kindergarten and elementary school,73420.0,2013,108.5,67179.3
Connecticut,special education teachers middle school,74510.0,2013,108.5,68176.65
Connecticut,special education teachers secondary school,75390.0,2013,108.5,68981.85
Connecticut,special education teachers all other,50060.0,2013,108.5,45804.9
Connecticut,adult basic and secondary education and literacy teachers and instructors,65330.0,2013,108.5,59776.95
Connecticut,self-enrichment education teachers,40210.0,2013,108.5,36792.15
Connecticut,substitute teachers,27060.0,2013,108.5,24759.9
Connecticut,teachers and instructors all other except substitute teachers,56170.0,2013,108.5,51395.55
Connecticut,archivists,37480.0,2013,108.5,34294.2
Connecticut,curators,71880.0,2013,108.5,65770.2
Connecticut,museum technicians and conservators,53660.0,2013,108.5,49098.9
Connecticut,librarians,68360.0,2013,108.5,62549.4
Connecticut,library technicians,35340.0,2013,108.5,32336.1
Connecticut,audio-visual and multimedia collections specialists,52970.0,2013,108.5,48467.55
Connecticut,instructional coordinators,73300.0,2013,108.5,67069.5
Connecticut,teacher assistants,27770.0,2013,108.5,25409.55
Connecticut,education training and library workers all other,41910.0,2013,108.5,38347.65
Connecticut,arts design entertainment sports and media occupations,48410.0,2013,108.5,44295.15
Connecticut,art directors,70820.0,2013,108.5,64800.3
Connecticut,craft artists,29400.0,2013,108.5,26901.0
Connecticut,fine artists including painters sculptors and illustrators,51740.0,2013,108.5,47342.1
Connecticut,artists and related workers all other,53510.0,2013,108.5,48961.65
Connecticut,commercial and industrial designers,64050.0,2013,108.5,58605.75
Connecticut,floral designers,30430.0,2013,108.5,27843.45
Connecticut,graphic designers,50790.0,2013,108.5,46472.85
Connecticut,interior designers,56850.0,2013,108.5,52017.75
Connecticut,merchandise displayers and window trimmers,26240.0,2013,108.5,24009.6
Connecticut,set and exhibit designers,43980.0,2013,108.5,40241.7
Connecticut,designers all other,55290.0,2013,108.5,50590.35
Connecticut,producers and directors,101830.0,2013,108.5,93174.45
