STATE,OCC_TITLE,A_MEDIAN,YEAR,CPI,A_MEDIAN_ADJ
Arizona,railroad conductors and yardmasters,68300.0,2010,98.6,69256.2
Arizona,motorboat operators,39180.0,2010,98.6,39728.52
Arizona,parking lot attendants,19900.0,2010,98.6,20178.6
Arizona,automotive and watercraft service attendants,19790.0,2010,98.6,20067.06
Arizona,traffic technicians,52000.0,2010,98.6,52728.0
Arizona,transportation inspectors,64090.0,2010,98.6,64987.26
Arizona,transportation attendants except flight attendants,18740.0,2010,98.6,19002.36
Arizona,transportation workers all other,28700.0,2010,98.6,29101.800000000007
Arizona,conveyor operators and tenders,27160.0,2010,98.6,27540.24
Arizona,crane and tower operators,39890.0,2010,98.6,40448.46
Arizona,excavating and loading machine and dragline operators,41700.0,2010,98.6,42283.8
Arizona,industrial truck and tractor operators,28810.0,2010,98.6,29213.34
Arizona,cleaners of vehicles and equipment,18820.0,2010,98.6,19083.48
Arizona,laborers and freight stock and material movers hand,23270.0,2010,98.6,23595.78
Arizona,machine feeders and offbearers,26880.0,2010,98.6,27256.32
Arizona,packers and packagers hand,18910.0,2010,98.6,19174.74
Arizona,pump operators except wellhead pumpers,38530.0,2010,98.6,39069.42000000001
Arizona,refuse and recyclable material collectors,39960.0,2010,98.6,40519.44
Arizona,material moving workers all other,39900.0,2010,98.6,40458.60000000001
Arkansas,all occupations,27860.0,2010,87.7,31286.78
Arkansas,management occupations,70280.0,2010,87.7,78924.44
Arkansas,chief executives,117150.0,2010,87.7,131559.45
Arkansas,general and operations managers,73730.0,2010,87.7,82798.79
Arkansas,legislators,19070.0,2010,87.7,21415.61
Arkansas,advertising and promotions managers,66170.0,2010,87.7,74308.91
Arkansas,marketing managers,89860.0,2010,87.7,100912.78
Arkansas,sales managers,84640.0,2010,87.7,95050.72
Arkansas,public relations and fundraising managers,70350.0,2010,87.7,79003.05
Arkansas,administrative services managers,60880.0,2010,87.7,68368.23999999999
Arkansas,computer and information systems managers,90390.0,2010,87.7,101507.97
Arkansas,financial managers,70520.0,2010,87.7,79193.95999999999
Arkansas,industrial production managers,73510.0,2010,87.7,82551.73
Arkansas,purchasing managers,75310.0,2010,87.7,84573.13
Arkansas,transportation storage and distribution managers,68900.0,2010,87.7,77374.7
Arkansas,compensation and benefits managers,77010.0,2010,87.7,86482.23
Arkansas,human resources managers,78100.0,2010,87.7,87706.3
Arkansas,training and development managers,72220.0,2010,87.7,81103.06
Arkansas,farmers ranchers and other agricultural managers,62040.0,2010,87.7,69670.92
Arkansas,construction managers,61020.0,2010,87.7,68525.45999999999
Arkansas,education administrators preschool and childcare center/program,33900.0,2010,87.7,38069.7
Arkansas,education administrators elementary and secondary school,73940.0,2010,87.7,83034.62
Arkansas,education administrators postsecondary,76440.0,2010,87.7,85842.12
Arkansas,education administrators all other,70400.0,2010,87.7,79059.2
Arkansas,architectural and engineering managers,93210.0,2010,87.7,104674.83
Arkansas,food service managers,44090.0,2010,87.7,49513.07
Arkansas,lodging managers,34500.0,2010,87.7,38743.5
Arkansas,medical and health services managers,72840.0,2010,87.7,81799.31999999999
Arkansas,natural sciences managers,92600.0,2010,87.7,103989.8
Arkansas,postmasters and mail superintendents,55560.0,2010,87.7,62393.88
Arkansas,property real estate and community association managers,33860.0,2010,87.7,38024.78
Arkansas,social and community service managers,45430.0,2010,87.7,51017.89
Arkansas,emergency management directors,36890.0,2010,87.7,41427.47
Arkansas,managers all other,91300.0,2010,87.7,102529.9
Arkansas,business and financial operations occupations,49260.0,2010,87.7,55318.98
Arkansas,buyers and purchasing agents farm products,44030.0,2010,87.7,49445.69
Arkansas,wholesale and retail buyers except farm products,50320.0,2010,87.7,56509.36
Arkansas,purchasing agents except wholesale retail and farm products,47450.0,2010,87.7,53286.35
Arkansas,claims adjusters examiners and investigators,51240.0,2010,87.7,57542.52
Arkansas,insurance appraisers auto damage,44430.0,2010,87.7,49894.89
Arkansas,compliance officers,48160.0,2010,87.7,54083.68
Arkansas,cost estimators,47140.0,2010,87.7,52938.22
Arkansas,human resources training and labor relations specialists all other,40430.0,2010,87.7,45402.89
Arkansas,logisticians,54700.0,2010,87.7,61428.1
Arkansas,management analysts,62880.0,2010,87.7,70614.23999999999
Arkansas,meeting convention and event planners,34780.0,2010,87.7,39057.94
Arkansas,compensation benefits and job analysis specialists,40820.0,2010,87.7,45840.86
