STATE,OCC_TITLE,A_MEDIAN,YEAR,CPI,A_MEDIAN_ADJ
Georgia,labor relations specialists,63890.0,2016,92.1,68937.31
Georgia,logisticians,69940.0,2016,92.1,75465.26000000001
Georgia,management analysts,82400.0,2016,92.1,88909.6
Georgia,meeting convention and event planners,47380.0,2016,92.1,51123.02
Georgia,fundraisers,41740.0,2016,92.1,45037.46
Georgia,compensation benefits and job analysis specialists,61760.0,2016,92.1,66639.04000000001
Georgia,training and development specialists,56920.0,2016,92.1,61416.68
Georgia,market research analysts and marketing specialists,57670.0,2016,92.1,62225.93
Georgia,business operations specialists all other,65600.0,2016,92.1,70782.40000000001
Georgia,accountants and auditors,68990.0,2016,92.1,74440.21
Georgia,appraisers and assessors of real estate,43230.0,2016,92.1,46645.17000000001
Georgia,budget analysts,68830.0,2016,92.1,74267.57
Georgia,credit analysts,61160.0,2016,92.1,65991.64
Georgia,financial analysts,72550.0,2016,92.1,78281.45000000001
Georgia,personal financial advisors,91610.0,2016,92.1,98847.19
Georgia,insurance underwriters,62710.0,2016,92.1,67664.09
Georgia,financial examiners,76750.0,2016,92.1,82813.25
Georgia,credit counselors,40170.0,2016,92.1,43343.43
Georgia,loan officers,58810.0,2016,92.1,63455.99000000001
Georgia,tax examiners and collectors and revenue agents,47310.0,2016,92.1,51047.49000000001
Georgia,tax preparers,35410.0,2016,92.1,38207.39
Georgia,financial specialists all other,64650.0,2016,92.1,69757.35
Georgia,computer and mathematical occupations,80990.0,2016,92.1,87388.21
Georgia,computer and information research scientists,92500.0,2016,92.1,99807.5
Georgia,computer systems analysts,83820.0,2016,92.1,90441.78
Georgia,information security analysts,87960.0,2016,92.1,94908.84
Georgia,computer programmers,82470.0,2016,92.1,88985.13
Georgia,software developers applications,95590.0,2016,92.1,103141.61
Georgia,software developers systems software,96040.0,2016,92.1,103627.16
Georgia,web developers,73410.0,2016,92.1,79209.39
Georgia,database administrators,86180.0,2016,92.1,92988.22
Georgia,network and computer systems administrators,83750.0,2016,92.1,90366.25
Georgia,computer network architects,115190.0,2016,92.1,124290.01
Georgia,computer user support specialists,49040.0,2016,92.1,52914.16
Georgia,computer network support specialists,69840.0,2016,92.1,75357.36
Georgia,computer occupations all other,84340.0,2016,92.1,91002.86
Georgia,actuaries,99230.0,2016,92.1,107069.17
Georgia,operations research analysts,58150.0,2016,92.1,62743.85000000001
Georgia,statisticians,87080.0,2016,92.1,93959.32
Georgia,architecture and engineering occupations,73450.0,2016,92.1,79252.55
Georgia,architects except landscape and naval,85800.0,2016,92.1,92578.2
Georgia,landscape architects,71860.0,2016,92.1,77536.94
Georgia,cartographers and photogrammetrists,48650.0,2016,92.1,52493.35000000001
Georgia,surveyors,52690.0,2016,92.1,56852.51
Georgia,aerospace engineers,113230.0,2016,92.1,122175.17
Georgia,agricultural engineers,59320.0,2016,92.1,64006.28000000001
Georgia,biomedical engineers,62360.0,2016,92.1,67286.44
Georgia,chemical engineers,90170.0,2016,92.1,97293.43
Georgia,civil engineers,76250.0,2016,92.1,82273.75
Georgia,computer hardware engineers,92370.0,2016,92.1,99667.23
Georgia,electrical engineers,87650.0,2016,92.1,94574.35
Georgia,electronics engineers except computer,92310.0,2016,92.1,99602.49
Georgia,environmental engineers,61010.0,2016,92.1,65829.79000000001
Georgia,health and safety engineers except mining safety engineers and inspectors,74840.0,2016,92.1,80752.36
Georgia,industrial engineers,77490.0,2016,92.1,83611.71
Georgia,materials engineers,72730.0,2016,92.1,78475.67
Georgia,mechanical engineers,78100.0,2016,92.1,84269.90000000001
Georgia,mining and geological engineers including mining safety engineers,74350.0,2016,92.1,80223.65000000001
Georgia,nuclear engineers,126610.0,2016,92.1,136612.19
Georgia,petroleum engineers,91080.0,2016,92.1,98275.32
Georgia,engineers all other,90130.0,2016,92.1,97250.27
Georgia,architectural and civil drafters,51730.0,2016,92.1,55816.67000000001
Georgia,electrical and electronics drafters,61180.0,2016,92.1,66013.22
Georgia,mechanical drafters,51250.0,2016,92.1,55298.75
Georgia,drafters all other,53050.0,2016,92.1,57240.95
Georgia,aerospace engineering and operations technicians,54850.0,2016,92.1,59183.15
Georgia,civil engineering technicians,43240.0,2016,92.1,46655.96
Georgia,electrical and electronics engineering technicians,59730.0,2016,92.1,64448.67000000001
Georgia,electro-mechanical technicians,73110.0,2016,92.1,78885.69
Georgia,environmental engineering technicians,39180.0,2016,92.1,42275.22
Georgia,industrial engineering technicians,54280.0,2016,92.1,58568.12
Georgia,mechanical engineering technicians,55470.0,2016,92.1,59852.13000000001
Georgia,engineering technicians except drafters all other,65170.0,2016,92.1,70318.43000000001
Georgia,surveying and mapping technicians,38130.0,2016,92.1,41142.27
Georgia,life physical and social science occupations,56760.0,2016,92.1,61244.04
Georgia,food scientists and technologists,57870.0,2016,92.1,62441.73
Georgia,soil and plant scientists,48810.0,2016,92.1,52665.99000000001
Georgia,biochemists and biophysicists,48880.0,2016,92.1,52741.52
Georgia,microbiologists,86640.0,2016,92.1,93484.56
Georgia,zoologists and wildlife biologists,52250.0,2016,92.1,56377.75
Georgia,biological scientists all other,72040.0,2016,92.1,77731.16
Georgia,conservation scientists,59780.0,2016,92.1,64502.62
Georgia,foresters,54920.0,2016,92.1,59258.68
Georgia,epidemiologists,63070.0,2016,92.1,68052.53
Georgia,medical scientists except epidemiologists,52680.0,2016,92.1,56841.72
Georgia,life scientists all other,49430.0,2016,92.1,53334.97
Georgia,physicists,135750.0,2016,92.1,146474.25
Georgia,atmospheric and space scientists,106840.0,2016,92.1,115280.36
Georgia,chemists,82250.0,2016,92.1,88747.75
Georgia,environmental scientists and specialists including health,61210.0,2016,92.1,66045.59
Georgia,geoscientists except hydrologists and geographers,66350.0,2016,92.1,71591.65000000001
Georgia,hydrologists,96540.0,2016,92.1,104166.66
Georgia,physical scientists all other,97160.0,2016,92.1,104835.64
Georgia,economists,98590.0,2016,92.1,106378.61
Georgia,survey researchers,30130.0,2016,92.1,32510.27
Georgia,clinical counseling and school psychologists,69100.0,2016,92.1,74558.90000000001
Georgia,psychologists all other,93060.0,2016,92.1,100411.74
Georgia,urban and regional planners,52060.0,2016,92.1,56172.74000000001
Georgia,anthropologists and archeologists,64680.0,2016,92.1,69789.72
Georgia,geographers,40700.0,2016,92.1,43915.3
Georgia,historians,60660.0,2016,92.1,65452.14
Georgia,political scientists,73740.0,2016,92.1,79565.46
