State,CPI,year
Massachusetts,107.8,2011
Michigan,94.6,2011
Minnesota,97.2,2011
Mississippi,86.8,2011
Missouri,89.1,2011
Montana,93.8,2011
Nebraska,90.3,2011
Nevada,99.8,2011
New Hampshire,105.3,2011
New Jersey,114.6,2011
New Mexico,95.3,2011
New York,115.2,2011
North Carolina,91.5,2011
North Dakota,89.7,2011
Ohio,89.7,2011
Oklahoma,89.6,2011
Oregon,98.5,2011
Pennsylvania,98.4,2011
Rhode Island,99.4,2011
South Carolina,90.8,2011
South Dakota,87.3,2011
Tennessee,90.3,2011
Texas,96.2,2011
Utah,97.2,2011
Vermont,99.9,2011
Virginia,103.0,2011
Washington,102.9,2011
West Virginia,88.5,2011
Wisconsin,93.3,2011
Wyoming,96.7,2011
Alabama,88.1,2012
Alaska,105.4,2012
Arizona,97.1,2012
Arkansas,87.8,2012
California,112.9,2012
Colorado,101.1,2012
Connecticut,109.2,2012
Delaware,101.2,2012
District of Columbia,117.7,2012
Florida,99.1,2012
Georgia,92.2,2012
Hawaii,117.8,2012
Idaho,93.4,2012
Illinois,100.7,2012
Indiana,91.4,2012
Iowa,90.2,2012
Kansas,90.6,2012
Kentucky,88.8,2012
Louisiana,91.4,2012
Maine,98.4,2012
Maryland,110.1,2012
Massachusetts,106.6,2012
Michigan,94.5,2012
Minnesota,97.6,2012
Mississippi,86.5,2012
Missouri,89.3,2012
Montana,93.5,2012
Nebraska,90.6,2012
Nevada,98.7,2012
New Hampshire,105.6,2012
New Jersey,114.4,2012
New Mexico,95.0,2012
New York,115.3,2012
North Carolina,91.7,2012
North Dakota,91.0,2012
Ohio,89.4,2012
Oklahoma,89.9,2012
Oregon,98.7,2012
Pennsylvania,98.4,2012
Rhode Island,98.8,2012
South Carolina,90.8,2012
South Dakota,88.9,2012
Tennessee,90.8,2012
Texas,96.2,2012
Utah,97.1,2012
Vermont,100.8,2012
Virginia,103.0,2012
Washington,103.5,2012
West Virginia,88.6,2012
Wisconsin,93.5,2012
Wyoming,95.8,2012
Alabama,87.8,2013
Alaska,104.9,2013
Arizona,96.5,2013
Arkansas,87.8,2013
California,113.1,2013
Colorado,102.1,2013
Connecticut,108.5,2013
Delaware,100.6,2013
District of Columbia,117.0,2013
Florida,99.2,2013
Georgia,92.3,2013
Hawaii,118.3,2013
Idaho,93.2,2013
Illinois,99.7,2013
Indiana,91.3,2013
Iowa,90.6,2013
Kansas,91.3,2013
Kentucky,89.3,2013
Louisiana,91.2,2013
Maine,98.5,2013
Maryland,109.9,2013
Massachusetts,106.7,2013
Michigan,94.3,2013
Minnesota,97.5,2013
Mississippi,87.2,2013
