STATE,OCC_TITLE,A_MEDIAN,YEAR,CPI,A_MEDIAN_ADJ
Alabama,all occupations,27260.0,2007,89.9,30013.26
Alabama,management occupations,73700.0,2007,89.9,81143.7
Alabama,chief executives,141750.0,2007,89.9,156066.75
Alabama,general and operations managers,75660.0,2007,89.9,83301.65999999999
Alabama,legislators,13770.0,2007,89.9,15160.77
Alabama,advertising and promotions managers,58490.0,2007,89.9,64397.49
Alabama,marketing managers,86910.0,2007,89.9,95687.91
Alabama,sales managers,85980.0,2007,89.9,94663.98
Alabama,public relations managers,64840.0,2007,89.9,71388.84
Alabama,administrative services managers,63930.0,2007,89.9,70386.93
Alabama,computer and information systems managers,94330.0,2007,89.9,103857.33
Alabama,financial managers,82140.0,2007,89.9,90436.14
Alabama,compensation and benefits managers,73060.0,2007,89.9,80439.06
Alabama,training and development managers,66220.0,2007,89.9,72908.22
Alabama,human resources managers all other,80100.0,2007,89.9,88190.09999999998
Alabama,industrial production managers,71470.0,2007,89.9,78688.47
Alabama,purchasing managers,83460.0,2007,89.9,91889.46
Alabama,transportation storage and distribution managers,70640.0,2007,89.9,77774.64
Alabama,construction managers,61930.0,2007,89.9,68184.93
Alabama,education administrators preschool and child care center/program,36650.0,2007,89.9,40351.65
Alabama,education administrators elementary and secondary school,69190.0,2007,89.9,76178.19
Alabama,education administrators postsecondary,78800.0,2007,89.9,86758.79999999999
Alabama,education administrators all other,66730.0,2007,89.9,73469.73
Alabama,engineering managers,97610.0,2007,89.9,107468.61
Alabama,food service managers,39780.0,2007,89.9,43797.78
Alabama,funeral directors,37550.0,2007,89.9,41342.55
Alabama,lodging managers,36740.0,2007,89.9,40450.74
Alabama,medical and health services managers,72030.0,2007,89.9,79305.03
Alabama,natural sciences managers,94690.0,2007,89.9,104253.69
Alabama,postmasters and mail superintendents,59390.0,2007,89.9,65388.39
Alabama,property real estate and community association managers,52710.0,2007,89.9,58033.71
Alabama,social and community service managers,43980.0,2007,89.9,48421.98
Alabama,managers all other,83440.0,2007,89.9,91867.44
Alabama,business and financial operations occupations,52560.0,2007,89.9,57868.56
Alabama,agents and business managers of artists performers and athletes,35290.0,2007,89.9,38854.29
Alabama,purchasing agents and buyers farm products,56920.0,2007,89.9,62668.92
Alabama,wholesale and retail buyers except farm products,39290.0,2007,89.9,43258.29
Alabama,purchasing agents except wholesale retail and farm products,51920.0,2007,89.9,57163.92
Alabama,claims adjusters examiners and investigators,54890.0,2007,89.9,60433.89
Alabama,insurance appraisers auto damage,46480.0,2007,89.9,51174.48
Alabama,compliance officers except agriculture construction health and safety and transportation,46750.0,2007,89.9,51471.75
Alabama,cost estimators,48060.0,2007,89.9,52914.06
Alabama,emergency management specialists,41850.0,2007,89.9,46076.85
Alabama,employment recruitment and placement specialists,37610.0,2007,89.9,41408.61
Alabama,compensation benefits and job analysis specialists,45590.0,2007,89.9,50194.59
Alabama,training and development specialists,42270.0,2007,89.9,46539.27
Alabama,human resources training and labor relations specialists all other,49920.0,2007,89.9,54961.92
Alabama,logisticians,73110.0,2007,89.9,80494.11
Alabama,management analysts,68320.0,2007,89.9,75220.31999999999
Alabama,meeting and convention planners,36920.0,2007,89.9,40648.92
Alabama,business operations specialists all other,61540.0,2007,89.9,67755.54
Alabama,accountants and auditors,50090.0,2007,89.9,55149.09
Alabama,appraisers and assessors of real estate,45000.0,2007,89.9,49545.0
Alabama,budget analysts,60770.0,2007,89.9,66907.76999999999
Alabama,credit analysts,47360.0,2007,89.9,52143.36
Alabama,financial analysts,57340.0,2007,89.9,63131.34
Alabama,personal financial advisors,75540.0,2007,89.9,83169.54
Alabama,insurance underwriters,44360.0,2007,89.9,48840.36
Alabama,financial examiners,41510.0,2007,89.9,45702.51
Alabama,loan counselors,35040.0,2007,89.9,38579.04
Alabama,loan officers,57300.0,2007,89.9,63087.3
Alabama,tax examiners collectors and revenue agents,45030.0,2007,89.9,49578.03
Alabama,tax preparers,22360.0,2007,89.9,24618.36
Alabama,financial specialists all other,54870.0,2007,89.9,60411.87
Alabama,computer and mathematical occupations,63190.0,2007,89.9,69572.19
Alabama,computer and information scientists research,94230.0,2007,89.9,103747.23
Alabama,computer programmers,61660.0,2007,89.9,67887.66
Alabama,software developers applications,74140.0,2007,89.9,81628.14
Alabama,software developers systems software,82350.0,2007,89.9,90667.35
Alabama,computer support specialists,36230.0,2007,89.9,39889.23
Alabama,computer systems analysts,67140.0,2007,89.9,73921.14
Alabama,database administrators,56260.0,2007,89.9,61942.26
Alabama,network and computer systems administrators,58210.0,2007,89.9,64089.21
Alabama,network systems and data communications analysts,64100.0,2007,89.9,70574.09999999999
Alabama,computer specialists all other,71700.0,2007,89.9,78941.7
Alabama,actuaries,51060.0,2007,89.9,56217.06
Alabama,mathematicians,95480.0,2007,89.9,105123.48
Alabama,operations research analysts,77450.0,2007,89.9,85272.45
Alabama,statisticians,53930.0,2007,89.9,59376.92999999999
Alabama,architecture and engineering occupations,64910.0,2007,89.9,71465.91
Alabama,architects except landscape and naval,69150.0,2007,89.9,76134.15
Alabama,landscape architects,71910.0,2007,89.9,79172.90999999999
Alabama,cartographers and photogrammetrists,43660.0,2007,89.9,48069.66
Alabama,surveyors,40130.0,2007,89.9,44183.13
Alabama,aerospace engineers,93870.0,2007,89.9,103350.87
Alabama,biomedical engineers,71370.0,2007,89.9,78578.37
Alabama,chemical engineers,81850.0,2007,89.9,90116.85
Alabama,civil engineers,66550.0,2007,89.9,73271.54999999999
Alabama,computer hardware engineers,78520.0,2007,89.9,86450.51999999999
Alabama,electrical engineers,78050.0,2007,89.9,85933.04999999999
Alabama,electronics engineers except computer,85270.0,2007,89.9,93882.27
Alabama,environmental engineers,67360.0,2007,89.9,74163.36
Alabama,health and safety engineers except mining safety engineers and inspectors,65450.0,2007,89.9,72060.45
Alabama,industrial engineers,66410.0,2007,89.9,73117.41
Alabama,marine engineers and naval architects,74250.0,2007,89.9,81749.25
Alabama,materials engineers,76220.0,2007,89.9,83918.22
Alabama,mechanical engineers,73450.0,2007,89.9,80868.45
Alabama,mining and geological engineers including mining safety engineers,81920.0,2007,89.9,90193.92
Alabama,petroleum engineers,78000.0,2007,89.9,85878.0
Alabama,engineers all other,96800.0,2007,89.9,106576.8
Alabama,architectural and civil drafters,40520.0,2007,89.9,44612.52
Alabama,electrical and electronics drafters,47580.0,2007,89.9,52385.58
Alabama,mechanical drafters,40880.0,2007,89.9,45008.88
Alabama,drafters all other,44140.0,2007,89.9,48598.14
Alabama,aerospace engineering and operations technicians,51920.0,2007,89.9,57163.92
Alabama,civil engineering technicians,34000.0,2007,89.9,37434.0
Alabama,electrical and electronic engineering technicians,48980.0,2007,89.9,53926.98
Alabama,electro-mechanical technicians,55100.0,2007,89.9,60665.1
Alabama,environmental engineering technicians,33310.0,2007,89.9,36674.31
Alabama,industrial engineering technicians,45910.0,2007,89.9,50546.91
Alabama,mechanical engineering technicians,41100.0,2007,89.9,45251.1
Alabama,engineering technicians except drafters all other,57600.0,2007,89.9,63417.6
Alabama,surveying and mapping technicians,27510.0,2007,89.9,30288.51
Alabama,life physical and social science occupations,46960.0,2007,89.9,51702.96
Alabama,food scientists and technologists,47830.0,2007,89.9,52660.83
Alabama,soil and plant scientists,61730.0,2007,89.9,67964.73
Alabama,microbiologists,53140.0,2007,89.9,58507.14
Alabama,biological scientists all other,61040.0,2007,89.9,67205.04
Alabama,conservation scientists,55990.0,2007,89.9,61644.99
Alabama,foresters,54800.0,2007,89.9,60334.8
Alabama,life scientists all other,45690.0,2007,89.9,50304.69
Alabama,physicists,102060.0,2007,89.9,112368.06
Alabama,chemists,54090.0,2007,89.9,59553.09
Alabama,environmental scientists and specialists including health,53600.0,2007,89.9,59013.6
Alabama,geoscientists except hydrologists and geographers,52370.0,2007,89.9,57659.37
Alabama,physical scientists all other,92450.0,2007,89.9,101787.45
Alabama,market research analysts,49540.0,2007,89.9,54543.53999999999
Alabama,survey researchers,18740.0,2007,89.9,20632.74
Alabama,clinical counseling and school psychologists,51550.0,2007,89.9,56756.55
Alabama,psychologists all other,85650.0,2007,89.9,94300.65
Alabama,urban and regional planners,53980.0,2007,89.9,59431.98
Alabama,historians,54920.0,2007,89.9,60466.92
Alabama,social scientists and related workers all other,68890.0,2007,89.9,75847.89
Alabama,agricultural and food science technicians,34450.0,2007,89.9,37929.45
Alabama,biological technicians,34140.0,2007,89.9,37588.14
Alabama,chemical technicians,39720.0,2007,89.9,43731.72
Alabama,geological and petroleum technicians,35130.0,2007,89.9,38678.13
Alabama,social science research assistants,33860.0,2007,89.9,37279.86
Alabama,environmental science and protection technicians including health,36370.0,2007,89.9,40043.37
Alabama,forensic science technicians,41040.0,2007,89.9,45185.03999999999
Alabama,forest and conservation technicians,36950.0,2007,89.9,40681.95
Alabama,life physical and social science technicians all other,37080.0,2007,89.9,40825.08
Alabama,community and social services occupations,35790.0,2007,89.9,39404.79
Alabama,substance abuse and behavioral disorder counselors,31020.0,2007,89.9,34153.02
Alabama,educational vocational and school counselors,47560.0,2007,89.9,52363.56
Alabama,marriage and family therapists,35560.0,2007,89.9,39151.56
Alabama,mental health counselors,35060.0,2007,89.9,38601.06
Alabama,rehabilitation counselors,34850.0,2007,89.9,38369.85
Alabama,counselors all other,42670.0,2007,89.9,46979.67
Alabama,child family and school social workers,35190.0,2007,89.9,38744.19
Alabama,medical and public health social workers,38200.0,2007,89.9,42058.2
Alabama,mental health and substance abuse social workers,31280.0,2007,89.9,34439.28
Alabama,social workers all other,38060.0,2007,89.9,41904.06
Alabama,health educators,37330.0,2007,89.9,41100.33
Alabama,probation officers and correctional treatment specialists,39110.0,2007,89.9,43060.11
Alabama,social and human service assistants,26950.0,2007,89.9,29671.95
Alabama,community and social service specialists all other,26360.0,2007,89.9,29022.36
Alabama,clergy,37410.0,2007,89.9,41188.41
Alabama,legal occupations,63240.0,2007,89.9,69627.23999999999
Alabama,lawyers,92840.0,2007,89.9,102216.84
Alabama,administrative law judges adjudicators and hearing officers,126220.0,2007,89.9,138968.22
Alabama,arbitrators mediators and conciliators,37100.0,2007,89.9,40847.1
Alabama,judges magistrate judges and magistrates,45120.0,2007,89.9,49677.12
Alabama,paralegals and legal assistants,40290.0,2007,89.9,44359.29
Alabama,court reporters,22160.0,2007,89.9,24398.16
Alabama,law clerks,31430.0,2007,89.9,34604.43
Alabama,title examiners abstractors and searchers,35190.0,2007,89.9,38744.19
Alabama,legal support workers all other,44200.0,2007,89.9,48664.2
Alabama,education training and library occupations,39610.0,2007,89.9,43610.61
Alabama,business teachers postsecondary,72240.0,2007,89.9,79536.23999999999
Alabama,computer science teachers postsecondary,60820.0,2007,89.9,66962.81999999999
Alabama,mathematical science teachers postsecondary,53440.0,2007,89.9,58837.44
Alabama,architecture teachers postsecondary,60810.0,2007,89.9,66951.81
Alabama,engineering teachers postsecondary,65270.0,2007,89.9,71862.26999999999
Alabama,biological science teachers postsecondary,66940.0,2007,89.9,73700.94
Alabama,forestry and conservation science teachers postsecondary,56880.0,2007,89.9,62624.88
Alabama,atmospheric earth marine and space sciences teachers postsecondary,59180.0,2007,89.9,65157.17999999999
Alabama,chemistry teachers postsecondary,53520.0,2007,89.9,58925.52
Alabama,physics teachers postsecondary,68700.0,2007,89.9,75638.7
Alabama,economics teachers postsecondary,65710.0,2007,89.9,72346.70999999999
Alabama,geography teachers postsecondary,54690.0,2007,89.9,60213.69
Alabama,political science teachers postsecondary,54710.0,2007,89.9,60235.71
Alabama,psychology teachers postsecondary,57340.0,2007,89.9,63131.34
Alabama,sociology teachers postsecondary,52580.0,2007,89.9,57890.58
Alabama,social sciences teachers postsecondary all other,56620.0,2007,89.9,62338.62
Alabama,health specialties teachers postsecondary,80810.0,2007,89.9,88971.81
Alabama,nursing instructors and teachers postsecondary,52820.0,2007,89.9,58154.82
Alabama,education teachers postsecondary,50510.0,2007,89.9,55611.51
Alabama,library science teachers postsecondary,51660.0,2007,89.9,56877.66
Alabama,criminal justice and law enforcement teachers postsecondary,48470.0,2007,89.9,53365.47
Alabama,law teachers postsecondary,92480.0,2007,89.9,101820.48
Alabama,social work teachers postsecondary,51410.0,2007,89.9,56602.41
Alabama,art drama and music teachers postsecondary,47990.0,2007,89.9,52836.99
Alabama,communications teachers postsecondary,48680.0,2007,89.9,53596.67999999999
Alabama,english language and literature teachers postsecondary,44860.0,2007,89.9,49390.86
Alabama,foreign language and literature teachers postsecondary,47880.0,2007,89.9,52715.88
Alabama,history teachers postsecondary,51540.0,2007,89.9,56745.53999999999
Alabama,philosophy and religion teachers postsecondary,52050.0,2007,89.9,57307.05
Alabama,home economics teachers postsecondary,53130.0,2007,89.9,58496.13
Alabama,recreation and fitness studies teachers postsecondary,57980.0,2007,89.9,63835.98
Alabama,vocational education teachers postsecondary,44470.0,2007,89.9,48961.47
Alabama,postsecondary teachers all other,43560.0,2007,89.9,47959.56
Alabama,preschool teachers except special education,20020.0,2007,89.9,22042.02
Alabama,kindergarten teachers except special education,40520.0,2007,89.9,44612.52
Alabama,elementary school teachers except special education,41710.0,2007,89.9,45922.71
Alabama,middle school teachers except special and vocational education,43370.0,2007,89.9,47750.37
Alabama,vocational education teachers middle school,42790.0,2007,89.9,47111.78999999999
Alabama,secondary school teachers except special and vocational education,43590.0,2007,89.9,47992.59
Alabama,vocational education teachers secondary school,47810.0,2007,89.9,52638.81
Alabama,special education teachers preschool kindergarten and elementary school,42990.0,2007,89.9,47331.99
Alabama,special education teachers middle school,43500.0,2007,89.9,47893.5
Alabama,special education teachers secondary school,43930.0,2007,89.9,48366.93
Alabama,adult literacy remedial education and ged teachers and instructors,35970.0,2007,89.9,39602.97
Alabama,self-enrichment education teachers,35600.0,2007,89.9,39195.6
Alabama,teachers and instructors all other,27130.0,2007,89.9,29870.13
Alabama,archivists,51490.0,2007,89.9,56690.49
Alabama,curators,37860.0,2007,89.9,41683.86
Alabama,museum technicians and conservators,30320.0,2007,89.9,33382.32
Alabama,librarians,44720.0,2007,89.9,49236.72
Alabama,library technicians,22540.0,2007,89.9,24816.54
Alabama,audio-visual collections specialists,23430.0,2007,89.9,25796.43
Alabama,farm and home management advisors,42670.0,2007,89.9,46979.67
Alabama,instructional coordinators,60960.0,2007,89.9,67116.95999999999
Alabama,teacher assistants,16590.0,2007,89.9,18265.59
Alabama,education training and library workers all other,35440.0,2007,89.9,39019.44
Alabama,arts design entertainment sports and media occupations,31930.0,2007,89.9,35154.93
Alabama,art directors,46290.0,2007,89.9,50965.28999999999
Alabama,craft artists,21430.0,2007,89.9,23594.43
Alabama,fine artists including painters sculptors and illustrators,50310.0,2007,89.9,55391.31
Alabama,multi-media artists and animators,45080.0,2007,89.9,49633.08
Alabama,artists and related workers all other,53060.0,2007,89.9,58419.06
Alabama,commercial and industrial designers,38480.0,2007,89.9,42366.48
Alabama,floral designers,19940.0,2007,89.9,21953.94
Alabama,graphic designers,35240.0,2007,89.9,38799.24
Alabama,interior designers,40780.0,2007,89.9,44898.78
Alabama,merchandise displayers and window trimmers,21130.0,2007,89.9,23264.13
Alabama,designers all other,40490.0,2007,89.9,44579.49
Alabama,producers and directors,42350.0,2007,89.9,46627.35
Alabama,coaches and scouts,31230.0,2007,89.9,34384.23
Alabama,choreographers,32410.0,2007,89.9,35683.41
Alabama,radio and television announcers,20070.0,2007,89.9,22097.07
Alabama,public address system and other announcers,21900.0,2007,89.9,24111.9
Alabama,broadcast news analysts,51750.0,2007,89.9,56976.75
Alabama,reporters and correspondents,24680.0,2007,89.9,27172.68
Alabama,public relations specialists,39470.0,2007,89.9,43456.47
Alabama,editors,40950.0,2007,89.9,45085.95
Alabama,technical writers,51000.0,2007,89.9,56151.0
Alabama,writers and authors,37200.0,2007,89.9,40957.2
Alabama,interpreters and translators,30540.0,2007,89.9,33624.54
Alabama,media and communication workers all other,29520.0,2007,89.9,32501.52
Alabama,audio and video equipment technicians,21650.0,2007,89.9,23836.65
Alabama,broadcast technicians,25090.0,2007,89.9,27624.09
Alabama,sound engineering technicians,19760.0,2007,89.9,21755.76
Alabama,photographers,20060.0,2007,89.9,22086.06
Alabama,camera operators television video and motion picture,29370.0,2007,89.9,32336.37
Alabama,film and video editors,31670.0,2007,89.9,34868.67
Alabama,media and communication equipment workers all other,55340.0,2007,89.9,60929.34
Alabama,healthcare practitioners and technical occupations,45130.0,2007,89.9,49688.13
Alabama,chiropractors,111610.0,2007,89.9,122882.61
Alabama,dentists general,136680.0,2007,89.9,150484.68
Alabama,dietitians and nutritionists,45690.0,2007,89.9,50304.69
Alabama,optometrists,78050.0,2007,89.9,85933.04999999999
Alabama,pharmacists,99070.0,2007,89.9,109076.07
Alabama,pediatricians general,139610.0,2007,89.9,153710.61
Alabama,physician assistants,68820.0,2007,89.9,75770.81999999999
Alabama,podiatrists,126710.0,2007,89.9,139507.71
Alabama,registered nurses,51830.0,2007,89.9,57064.83
